VQFN20,SOIC20,SOIC14,PIN,SYS,ADC0,AC0,DAC0,ZCD3,USART,SPI0,TWI0,TCA0,TCBn,TCD0,EVSYS,CCL_LUTn
17,4,4,PA0,"XTAL32K1XTALHF1EXTCLK",,,,,"0,TxD",MOSI(3),SDA(H)(3),WO0,,,,"0,IN0"
18,5,5,PA1,"XTAL32K2XTALHF2",,,,,"0,RxD",MISO(3),SCL(H)(3),WO1,,,,"0,IN1"
19,6,,PA2,"TWIFm+",AIN22,,,,"0,XCK0,TxD(3)",,SDA(H),WO2,"0,WO",,EVOUTA,"0,IN2"
20,7,,PA3,"TWIFm+",AIN23,,,,"0,XDIR0,RxD(3)",,SCL(H),WO3,"1,WO",,,"0,OUT"
1,8,,PA4,,AIN24,,,,"0,TxD(3)",MOSI,,WO4,,WOA,,
2,9,,PA5,,AIN25,,,,"0,RxD(3)",MISO,,WO5,,WOB,,
3,10,,PA6,,AIN26,,,,"0,XCK(3)",SCK,,,,WOC,,"0,OUT(3)"
4,11,,PA7,CLKOUT,AIN27,OUT,,ZCOUT,"0,XDIR(3)",SS,,,,WOD,EVOUTA(3),
5,12,6,PC1,,AIN29(6),,,,"1,RxD0,TxD(3)","SS(3)MISO(3)MOSI(3)",,WO1(3),,,,"1,IN1"
6,13,7,PC2,"TWIFm+",AIN30(6),AINN3(6),,ZCIN,"1,XCK0,RxD(3)","SCK(3)MISO(3)","SDA(C)SDA(H)(3)",WO2(3),,,EVOUTC,"1,IN2"
7,14,8,PC3,"TWIFm+",AIN31(6),AINP4(6),,,"1,XDIR0,XCK(3)","SS(3)SCK(3)","SCL(C)SCL(H)(3)",WO3(3),,,,"1,OUT"
8,15,9,VDDIO2,,,,,,,,,,,,,
9,16,10,PD4,,AIN4,,,,"0,TxD(3)",MOSI(3),,WO4(3),,WOC(3),,
10,17,11,PD5,,AIN5,,,,"0,RxD(3)",MISO(3),,WO5(3),,WOD(3),,
11,18,12,PD6,,AIN6,AINP3,VOUT,,"0,XCK(3)1,TxD(3)",SCK(3),,,,,,"2,OUT(3)"
12,19,13,PD7,VREFA,AIN7,AINN2,,,"0,XDIR(3)1,RxD(3)",SS(3),,,,,EVOUTD(3),
13,20,14,VDD,,,,,,,,,,,,,
14,1,1,GND,,,,,,,,,,,,,
15,2,2,PF6(5),RESET,,,,,,,,,,,,
16,3,3,PF7,UPDI,,,,,,SS(3),,,,,EVOUTF(3),
